poison_type,poison_rate,test_acc,degradation
clean,0.0,0.9333333333333333,0.046666666666666634
label_flip,0.05,0.8222222222222222,0.1577777777777778
label_flip,0.1,0.9111111111111111,0.06888888888888889
label_flip,0.5,0.4,0.58
feature_noise,0.05,0.8666666666666667,0.11333333333333329
feature_noise,0.1,0.8666666666666667,0.11333333333333329
feature_noise,0.5,0.7333333333333333,0.2466666666666667
combined,0.05,0.8888888888888888,0.09111111111111114
combined,0.1,0.8444444444444444,0.13555555555555554
combined,0.5,0.5111111111111111,0.4688888888888889
